Timesteps  Total_Iterations  Iterations  Convergence  
672  1356  2  1  
673  1358  2  1  
674  1360  2  1  
675  1362  2  1  
676  1364  2  1  
677  1366  2  1  
678  1368  2  1  
679  1370  2  1  
680  1372  2  1  
681  1374  2  1  
682  1376  2  1  
683  1378  2  1  
684  1380  2  1  
685  1382  2  1  
686  1384  2  1  
687  1386  2  1  
688  1388  2  1  
689  1390  2  1  
690  1392  2  1  
691  1394  2  1  
692  1396  2  1  
693  1398  2  1  
694  1400  2  1  
695  1402  2  1  
696  1404  2  1  
697  1406  2  1  
698  1408  2  1  
699  1410  2  1  
700  1412  2  1  
701  1414  2  1  
702  1416  2  1  
703  1418  2  1  
704  1420  2  1  
705  1422  2  1  
706  1424  2  1  
707  1426  2  1  
708  1428  2  1  
709  1430  2  1  
710  1432  2  1  
711  1434  2  1  
712  1436  2  1  
713  1438  2  1  
714  1440  2  1  
715  1442  2  1  
716  1444  2  1  
717  1446  2  1  
718  1448  2  1  
719  1450  2  1  
720  1452  2  1  
721  1454  2  1  
722  1456  2  1  
723  1458  2  1  
724  1460  2  1  
725  1462  2  1  
726  1464  2  1  
727  1466  2  1  
728  1468  2  1  
729  1470  2  1  
730  1472  2  1  
731  1474  2  1  
732  1476  2  1  
733  1478  2  1  
734  1480  2  1  
735  1482  2  1  
736  1484  2  1  
737  1486  2  1  
738  1488  2  1  
739  1490  2  1  
740  1492  2  1  
741  1494  2  1  
742  1496  2  1  
743  1498  2  1  
744  1500  2  1  
745  1502  2  1  
746  1504  2  1  
747  1506  2  1  
748  1508  2  1  
749  1510  2  1  
750  1512  2  1  
751  1514  2  1  
752  1516  2  1  
753  1518  2  1  
754  1520  2  1  
755  1522  2  1  
756  1524  2  1  
757  1526  2  1  
758  1528  2  1  
759  1530  2  1  
760  1532  2  1  
761  1534  2  1  
762  1536  2  1  
763  1538  2  1  
764  1540  2  1  
765  1542  2  1  
766  1544  2  1  
767  1546  2  1  
768  1548  2  1  
769  1550  2  1  
770  1552  2  1  
771  1554  2  1  
772  1556  2  1  
773  1558  2  1  
774  1560  2  1  
775  1562  2  1  
776  1564  2  1  
777  1566  2  1  
778  1568  2  1  
779  1570  2  1  
780  1572  2  1  
781  1574  2  1  
782  1576  2  1  
783  1578  2  1  
784  1580  2  1  
785  1582  2  1  
786  1584  2  1  
787  1586  2  1  
788  1588  2  1  
789  1590  2  1  
790  1592  2  1  
791  1594  2  1  
792  1596  2  1  
793  1598  2  1  
794  1600  2  1  
795  1602  2  1  
796  1604  2  1  
797  1606  2  1  
798  1608  2  1  
799  1610  2  1  
800  1612  2  1  
801  1614  2  1  
802  1616  2  1  
803  1618  2  1  
804  1620  2  1  
805  1622  2  1  
806  1624  2  1  
807  1626  2  1  
808  1628  2  1  
809  1630  2  1  
810  1632  2  1  
811  1634  2  1  
812  1636  2  1  
813  1638  2  1  
814  1640  2  1  
815  1642  2  1  
816  1644  2  1  
817  1646  2  1  
818  1648  2  1  
819  1650  2  1  
820  1652  2  1  
821  1654  2  1  
822  1656  2  1  
823  1658  2  1  
824  1660  2  1  
825  1662  2  1  
826  1664  2  1  
827  1666  2  1  
828  1668  2  1  
829  1670  2  1  
830  1672  2  1  
831  1674  2  1  
832  1676  2  1  
833  1678  2  1  
834  1680  2  1  
835  1682  2  1  
836  1684  2  1  
837  1686  2  1  
838  1688  2  1  
839  1690  2  1  
840  1692  2  1  
841  1694  2  1  
842  1696  2  1  
843  1698  2  1  
844  1700  2  1  
845  1702  2  1  
846  1704  2  1  
847  1706  2  1  
848  1708  2  1  
849  1710  2  1  
850  1712  2  1  
851  1714  2  1  
852  1716  2  1  
853  1718  2  1  
854  1720  2  1  
855  1722  2  1  
856  1724  2  1  
857  1726  2  1  
858  1728  2  1  
859  1730  2  1  
860  1732  2  1  
861  1734  2  1  
862  1736  2  1  
863  1738  2  1  
864  1740  2  1  
865  1742  2  1  
866  1744  2  1  
867  1746  2  1  
868  1748  2  1  
869  1750  2  1  
870  1752  2  1  
871  1754  2  1  
