"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Residual_Density"	"Residual_X-Momentum"	"Residual_Y-Momentum"	"Residual_Energy"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
29	-5.000000000000000e-02	8.000000000000000e-01	1.222984892984912e+00	7.353449122089935e-03	5.161812673172665e+00	2.533143968484315e+05	8.877405699436736e-09	1.348113182753075e-07	1.077911369051776e-07	-1.255560782738030e-04	1.013214014714621e+05	2.886093795577456e+02	3.018117538018078e+00	1.239303060069491e-02	
30	-5.000000000000000e-02	9.000000000000000e-01	1.225761230214439e+00	-5.285950406167323e-01	6.215964742285055e+00	2.538729702992225e+05	-8.710456578242542e-09	3.241334687320574e-07	3.864755289129107e-07	-1.308123464696109e-04	1.015428381667887e+05	2.885850057828191e+02	3.424596908598026e+01	1.494450681248866e-02	
31	5.000000000000000e-02	9.000000000000000e-01	1.224947095860160e+00	3.019791761894157e-01	3.911311570297666e+00	2.535046996337801e+05	-9.538541534404033e-08	3.982014988856974e-07	1.474428614756107e-07	1.632483326829970e-05	1.013993671654662e+05	2.883687915574009e+02	1.401313855114771e+01	9.407465814899579e-03	
32	5.000000000000000e-02	8.000000000000000e-01	1.223477619391313e+00	-6.278000018005592e-02	3.812936071836936e+00	2.531684999535530e+05	-1.744969000405661e-07	4.025864053236461e-08	-6.695310084126049e-08	8.356448961421847e-05	1.012650227539859e+05	2.883326214949737e+02	-4.932625301667582e+00	9.156439261418309e-03	
33	5.000000000000000e-02	7.000000000000000e-01	1.223868112262200e+00	3.866551064672541e-02	4.197870623089993e+00	2.532500496243730e+05	-1.744969000405661e-07	4.025864053236461e-08	-6.695310084126049e-08	8.356448961421847e-05	1.012971398641342e+05	2.883320428896185e+02	-4.033473227801874e-01	1.007668196986926e-02	
34	5.000000000000000e-02	6.000000000000000e-01	1.223660218937904e+00	1.533886219137740e-02	4.246987162241182e+00	2.532266926232218e+05	-1.701891210181827e-07	-5.644742263888336e-08	-1.348562692626842e-07	1.092203310690820e-04	1.012877289865899e+05	2.883542373008621e+02	-1.730505346222459e+00	1.019555625707953e-02	
35	5.000000000000000e-02	5.000000000000000e-01	1.223559990670275e+00	4.303403091302821e-03	4.080450759629433e+00	2.532307104359159e+05	-1.701891210181827e-07	-5.644742263888336e-08	-1.348562692626842e-07	1.092203310690820e-04	1.012895625919269e+05	2.883830784070097e+02	-1.471923293340527e+00	9.796013693077914e-03	
36	5.000000000000000e-02	4.000000000000000e-01	1.223457849374050e+00	1.491994461216205e-03	3.734089969825257e+00	2.532303569507016e+05	-1.478710636160230e-07	-7.027536536030610e-08	-1.516844228000025e-07	9.855444659478962e-05	1.012898634324247e+05	2.884080108837525e+02	-1.429497613212455e+00	8.964855544560075e-03	
37	5.000000000000000e-02	3.000000000000000e-01	1.223413637330569e+00	-2.316101134013338e-03	3.180139991050269e+00	2.532350987004845e+05	-1.478710636160230e-07	-7.027536536030610e-08	-1.516844228000025e-07	9.855444659478962e-05	1.012923861888754e+05	2.884256168863233e+02	-1.073728828744253e+00	7.634968961972986e-03	
38	5.000000000000000e-02	2.000000000000000e-01	1.223313788599553e+00	1.320042212312528e-02	2.472626551135434e+00	2.532224027218095e+05	-1.304005883273618e-07	-6.633321047999630e-08	-1.393726112297600e-07	8.600653382018209e-05	1.012879614995146e+05	2.884365584868117e+02	-1.697715482356338e+00	5.936805877744466e-03	
