"PointID"	"x"	"y"	"z"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
20	-2.768996154894059e-01	0.000000000000000e+00	0.000000000000000e+00	1.226364856715682e+00	1.671348328686631e+00	-1.364694066061782e-05	2.609726484410390e-02	2.536146525719715e+05	1.014454053591259e+05	2.881661939618843e+02	2.050562108670938e+01	4.005252047367710e-03	
21	-5.000000000000000e-02	0.000000000000000e+00	1.999999999995579e-01	1.226982350521261e+00	6.201662264025299e-02	-1.591995205319077e-05	1.547552300720542e+00	2.537122526567315e+05	1.014845100604611e+05	2.881321958730579e+02	2.602031595841306e+01	3.709460258490891e-03	
22	-5.000000000000000e-02	0.000000000000000e+00	3.999999999989749e-01	1.226388642984420e+00	2.606621009647108e-02	-1.406173637227295e-05	2.646359715500677e+00	2.535949807726060e+05	1.014368501100777e+05	2.881363032694635e+02	1.929912707343615e+01	6.341529076100316e-03	
23	-5.000000000000000e-02	0.000000000000000e+00	5.999999999989468e-01	1.226179936842887e+00	-6.531666285523817e-02	-1.114898502903270e-05	3.582792804539682e+00	2.535666402498327e+05	1.014245616812982e+05	2.881504346719469e+02	1.756616574506388e+01	8.587784962896456e-03	
24	-5.000000000000000e-02	0.000000000000000e+00	7.999999999994734e-01	1.227875451710735e+00	-8.037009428378918e-02	-1.291678392217051e-05	5.138045256083991e+00	2.539295195485785e+05	1.015675067368795e+05	2.881580921386563e+02	3.772482539550735e+01	1.229794305161544e-02	
25	5.000000000000000e-02	0.000000000000000e+00	7.999999999999998e-01	1.225980792726486e+00	4.822369902656855e-03	5.146690227454055e-07	1.504150967815548e+00	2.535170759106723e+05	1.014064612731049e+05	2.881458086468908e+02	1.501357680226819e+01	3.605412787201447e-03	
26	5.000000000000000e-02	0.000000000000000e+00	6.000000000013869e-01	1.225946915728515e+00	-1.207446599821563e-01	-2.287352774738467e-07	1.414258752340128e+00	2.534841450225209e+05	1.013933293313037e+05	2.881164557162104e+02	1.316166003436741e+01	3.402525707600413e-03	
27	5.000000000000000e-02	0.000000000000000e+00	4.000000000016644e-01	1.226096602707294e+00	-4.992493652992098e-02	1.665311138063330e-07	1.099638230491217e+00	2.534940927845679e+05	1.013974394627229e+05	2.880929590684839e+02	1.374128652134759e+01	2.638500086734882e-03	
28	5.000000000000000e-02	0.000000000000000e+00	2.000000000008322e-01	1.226249392226490e+00	-3.525036403353879e-02	6.468371867786162e-07	6.844065998680339e-01	2.535157454760819e+05	1.014062215901938e+05	2.880820118499398e+02	1.497977579943433e+01	1.642493826426834e-03	
29	2.635006363773212e-01	0.000000000000000e+00	0.000000000000000e+00	1.225950081592290e+00	-6.886549166692598e-01	3.510404828973744e-07	3.036287888183357e-02	2.534516351546835e+05	1.013805765436276e+05	2.880794738191860e+02	1.136321303449618e+01	1.652515623100260e-03	
30	5.076449808075653e-01	0.000000000000000e+00	0.000000000000000e+00	1.226132127202765e+00	-9.702407183707440e-01	7.049621732440347e-07	3.782971428010368e-03	2.534951156609607e+05	1.013978927113794e+05	2.880858999495634e+02	1.380520538420402e+01	2.325603537547624e-03	
31	7.868313394236879e-01	0.000000000000000e+00	0.000000000000000e+00	1.226193803372182e+00	-7.156050248676202e-01	9.834850763119614e-07	-4.252967932588357e-02	2.535162884761794e+05	1.014064315702267e+05	2.880956684504363e+02	1.500938798853956e+01	1.718156411745609e-03	
32	1.106089224395230e+00	0.000000000000000e+00	0.000000000000000e+00	1.226333732343744e+00	9.239119495946832e-02	1.450296272678689e-06	-8.726864618356153e-02	2.535548615470559e+05	1.014219419846373e+05	2.881068557850090e+02	1.719672608057388e+01	3.045637128556981e-04	
