Timesteps  Total_Iterations  Iterations  Convergence  
808  1626  2  1  
809  1628  2  1  
810  1630  2  1  
811  1632  2  1  
812  1634  2  1  
813  1636  2  1  
814  1638  2  1  
815  1640  2  1  
816  1642  2  1  
817  1644  2  1  
818  1646  2  1  
819  1648  2  1  
820  1650  2  1  
821  1652  2  1  
822  1654  2  1  
823  1656  2  1  
824  1658  2  1  
825  1660  2  1  
826  1662  2  1  
827  1664  2  1  
828  1666  2  1  
829  1668  2  1  
830  1670  2  1  
831  1672  2  1  
832  1674  2  1  
833  1676  2  1  
834  1678  2  1  
835  1680  2  1  
836  1682  2  1  
837  1684  2  1  
838  1686  2  1  
839  1688  2  1  
840  1690  2  1  
841  1692  2  1  
842  1694  2  1  
843  1696  2  1  
844  1698  2  1  
845  1700  2  1  
846  1702  2  1  
847  1704  2  1  
848  1706  2  1  
849  1708  2  1  
850  1710  2  1  
851  1712  2  1  
852  1714  2  1  
853  1716  2  1  
854  1718  2  1  
855  1720  2  1  
856  1722  2  1  
857  1724  2  1  
858  1726  2  1  
859  1728  2  1  
860  1730  2  1  
861  1732  2  1  
862  1734  2  1  
863  1736  2  1  
864  1738  2  1  
865  1740  2  1  
866  1742  2  1  
867  1744  2  1  
868  1746  2  1  
869  1748  2  1  
870  1750  2  1  
871  1752  2  1  
872  1754  2  1  
873  1756  2  1  
874  1758  2  1  
875  1760  2  1  
876  1762  2  1  
877  1764  2  1  
878  1766  2  1  
879  1768  2  1  
880  1770  2  1  
881  1772  2  1  
882  1774  2  1  
883  1776  2  1  
884  1778  2  1  
885  1780  2  1  
886  1782  2  1  
887  1784  2  1  
888  1786  2  1  
889  1788  2  1  
890  1790  2  1  
891  1792  2  1  
892  1794  2  1  
893  1796  2  1  
894  1798  2  1  
895  1800  2  1  
896  1802  2  1  
897  1804  2  1  
898  1806  2  1  
899  1808  2  1  
900  1810  2  1  
901  1812  2  1  
902  1814  2  1  
903  1816  2  1  
904  1818  2  1  
905  1820  2  1  
906  1822  2  1  
907  1824  2  1  
908  1826  2  1  
909  1828  2  1  
910  1830  2  1  
911  1832  2  1  
912  1834  2  1  
913  1836  2  1  
914  1838  2  1  
915  1840  2  1  
916  1842  2  1  
917  1844  2  1  
918  1846  2  1  
919  1848  2  1  
920  1850  2  1  
921  1852  2  1  
922  1854  2  1  
923  1856  2  1  
924  1858  2  1  
925  1860  2  1  
926  1862  2  1  
927  1864  2  1  
928  1866  2  1  
929  1868  2  1  
930  1870  2  1  
931  1872  2  1  
932  1874  2  1  
933  1876  2  1  
934  1878  2  1  
935  1880  2  1  
936  1882  2  1  
937  1884  2  1  
938  1886  2  1  
939  1888  2  1  
940  1890  2  1  
941  1892  2  1  
942  1894  2  1  
943  1896  2  1  
944  1898  2  1  
945  1900  2  1  
946  1902  2  1  
947  1904  2  1  
948  1906  2  1  
949  1908  2  1  
950  1910  2  1  
951  1912  2  1  
952  1914  2  1  
953  1916  2  1  
954  1918  2  1  
955  1920  2  1  
956  1922  2  1  
957  1924  2  1  
958  1926  2  1  
959  1928  2  1  
960  1930  2  1  
961  1932  2  1  
962  1934  2  1  
963  1936  2  1  
964  1938  2  1  
965  1940  2  1  
966  1942  2  1  
967  1944  2  1  
968  1946  2  1  
969  1948  2  1  
970  1950  2  1  
971  1952  2  1  
972  1954  2  1  
973  1956  2  1  
974  1958  2  1  
975  1960  2  1  
976  1962  2  1  
977  1964  2  1  
978  1966  2  1  
979  1968  2  1  
980  1970  2  1  
981  1972  2  1  
982  1974  2  1  
983  1976  2  1  
984  1978  2  1  
985  1980  2  1  
986  1982  2  1  
987  1984  2  1  
988  1986  2  1  
989  1988  2  1  
990  1990  2  1  
991  1992  2  1  
992  1994  2  1  
993  1996  2  1  
994  1998  2  1  
995  2000  2  1  
996  2002  2  1  
997  2004  2  1  
998  2006  2  1  
999  2008  2  1  
1000  2010  2  1  
1001  2012  2  1  
1002  2014  2  1  
1003  2016  2  1  
1004  2018  2  1  
1005  2020  2  1  
1006  2022  2  1  
1007  2024  2  1  
1008  2026  2  1  
1009  2028  2  1  
1010  2030  2  1  
1011  2032  2  1  
1012  2034  2  1  
1013  2036  2  1  
1014  2038  2  1  
1015  2040  2  1  
1016  2042  2  1  
1017  2044  2  1  
1018  2046  2  1  
1019  2048  2  1  
1020  2050  2  1  
1021  2052  2  1  
1022  2054  2  1  
1023  2056  2  1  
1024  2058  2  1  
1025  2060  2  1  
1026  2062  2  1  
1027  2064  2  1  
1028  2066  2  1  
1029  2068  2  1  
1030  2070  2  1  
1031  2072  2  1  
1032  2074  2  1  
