TimeWindow  TotalIterations  Iterations  Convergence  
803  3813  4  1  
804  3817  4  1  
805  3821  4  1  
806  3826  5  1  
807  3830  4  1  
808  3834  4  1  
809  3838  4  1  
810  3842  4  1  
811  3846  4  1  
812  3849  3  1  
813  3854  5  1  
814  3858  4  1  
815  3862  4  1  
816  3867  5  1  
817  3870  3  1  
818  3875  5  1  
819  3880  5  1  
820  3883  3  1  
821  3888  5  1  
822  3892  4  1  
823  3897  5  1  
824  3902  5  1  
825  3905  3  1  
826  3910  5  1  
827  3913  3  1  
828  3917  4  1  
829  3921  4  1  
830  3925  4  1  
831  3929  4  1  
832  3933  4  1  
833  3937  4  1  
834  3941  4  1  
835  3944  3  1  
836  3949  5  1  
837  3954  5  1  
838  3958  4  1  
839  3963  5  1  
840  3968  5  1  
841  3972  4  1  
842  3976  4  1  
843  3981  5  1  
844  3985  4  1  
845  3989  4  1  
846  3994  5  1  
847  3999  5  1  
848  4003  4  1  
849  4007  4  1  
850  4011  4  1  
851  4016  5  1  
852  4020  4  1  
853  4024  4  1  
854  4029  5  1  
855  4034  5  1  
856  4038  4  1  
857  4042  4  1  
858  4046  4  1  
859  4051  5  1  
860  4055  4  1  
861  4059  4  1  
862  4064  5  1  
863  4069  5  1  
864  4073  4  1  
865  4078  5  1  
866  4083  5  1  
867  4088  5  1  
868  4092  4  1  
869  4097  5  1  
870  4101  4  1  
871  4105  4  1  
872  4109  4  1  
873  4113  4  1  
874  4116  3  1  
875  4120  4  1  
876  4123  3  1  
877  4127  4  1  
878  4131  4  1  
879  4135  4  1  
880  4139  4  1  
881  4143  4  1  
882  4147  4  1  
883  4152  5  1  
884  4155  3  1  
885  4160  5  1  
886  4165  5  1  
887  4169  4  1  
888  4174  5  1  
889  4177  3  1  
890  4181  4  1  
891  4185  4  1  
892  4190  5  1  
893  4194  4  1  
894  4197  3  1  
895  4200  3  1  
896  4204  4  1  
897  4208  4  1  
898  4212  4  1  
899  4216  4  1  
900  4220  4  1  
901  4224  4  1  
902  4227  3  1  
903  4231  4  1  
904  4235  4  1  
905  4239  4  1  
906  4244  5  1  
907  4247  3  1  
908  4252  5  1  
909  4256  4  1  
910  4261  5  1  
911  4265  4  1  
912  4270  5  1  
913  4273  3  1  
914  4276  3  1  
915  4280  4  1  
916  4283  3  1  
917  4286  3  1  
918  4289  3  1  
919  4294  5  1  
920  4298  4  1  
921  4302  4  1  
922  4307  5  1  
923  4311  4  1  
924  4316  5  1  
925  4320  4  1  
926  4324  4  1  
927  4327  3  1  
928  4332  5  1  
929  4335  3  1  
930  4339  4  1  
931  4343  4  1  
932  4347  4  1  
933  4351  4  1  
934  4355  4  1  
935  4359  4  1  
936  4362  3  1  
937  4366  4  1  
938  4370  4  1  
939  4373  3  1  
940  4377  4  1  
941  4381  4  1  
942  4384  3  1  
943  4387  3  1  
944  4391  4  1  
945  4395  4  1  
946  4399  4  1  
